ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AZE,Azerbaijan,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72585.44531,105537.3438,76113.52344,42271.98828,33166.27734,20607.86719,19444.97656,18134.25977,18319.06445,19634.37695,22342.11133,25158.66797,26823.66797,28214.7168,30054.62109,46293.55859,67311.78125,91720.63281,101474.2813,106109.6875,125899.0078,163602.75,173004.3438,157669.7656,173664.125,139452.7813,132069.0156,138733.9531,154555.8594,157517.125
BDI,Burundi,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,1920.344482,1679.246338,1854.448486,1907.501343,1938.896729,2006.337646,2083.693359,2354.719482,2377.424805,2281.883301,2733.639893,2841.530029,2542.362061,2753.43335,2764.987061,2731.13623,3015.194092,3444.185547,3481.200684,3534.162354,3639.0896,3887.024414,3848.725342,3945.347168,4024.709229,4376.401855,4627.166016,4644.057617,5037.680176,4895.868652,5186.320313,5445.177734,5314.694336,4976.075684,5060.633301,4639.662109,4307.911133,4205.736816,4634.30957,4671.059082,4491.099121,4570.444336,4808.71875,5081.614258,5370.251953,5368.885742,5595.050781,5736.663574,6075.899414,6172.018066,6555.855469,7184.728027,7358.639648,8171.553711,8592.771484,8605.070313,8992.670898,8945.59375,9048.208008,9166.323242
BEL,Belgium,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),73079.47656,75181.19531,77680.42188,81065.5625,84604.74219,87987.39063,90628.07031,91899.77344,92133.72656,95046.97656,94902.82813,100462.1641,109009.625,113974.7813,121865.4453,126369.7031,131137.2656,136990.3438,143708.6875,153086.6094,162639.5,169561.8125,180456.125,192112.3906,193778.8594,192318.5469,205447.9688,207102.6094,215356.3594,220391.3438,228897.1719,215930.7344,211063.7344,207055.2344,206882.9219,201763.0156,212103.8281,221270.875,238527.2344,245840.5938,252589.4688,260084.0469,271752.3125,269716,281016.4063,288262.9375,285125.5,306846.6875,323948.875,340207.8125,364391.2188,365117.8125,376774.5313,384173.3125,393029.9375,413964.2813,416269.2188,426688.125,435307.3438,444295.3125,469020.3125,456543.9063,459693.875,460706.0938,458586.0938,482210.5625,501003.25,515603.875,510223,523688.5938
BEN,Benin,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,3371.13501,3686.548584,3786.097412,3711.922607,3921.793213,4141.383789,4512.785156,4668.053711,4895.703125,5315.811035,5538.365234,6089.265137,6237.214844,6530.553711,6960.013184,7471.446777,6372.101074,6838.224609,7084.69873,6878.222168,7162.32959,7671.224121,9738.036133,7084.713867,6976.859375,7381.58252,8242.541016,7283.280762,6768.03418,6986.55127,6346.553223,6598.586426,6989.373535,7156.02832,7365.029785,6900.54541,7652.804199,8045.03125,8866.661133,9292.726563,10196.62598,11353.11914,12194.03027,13535.30957,14464.18848,15496.34375,16429.3457,16847.09766,17952.47656,18483.76953,18595.89258,19150.58398,20475.03711,23050.51758,25575.14453,28954.40625,32397.93945,34327.72266,34319.41797,35864.86328,38397.95313
BFA,Burkina Faso,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,4883.57373,4866.008789,4645.18457,5024.634277,4852.578125,5028.683594,5008.779297,5055.856445,5592.560059,5747.735352,5845.373047,5598.337402,5180.993652,6391.443359,5965.502441,6406.243652,6304.741699,6362.787109,7066.715332,7769.73584,7874.654297,7908.827637,8468.40918,8501.688477,8019.256836,7783.555664,8355.859375,9230.862305,9027.275391,9585.363281,9675.193359,9673.892578,10333.76074,10413.00293,10824.82031,9791.604492,11236.92969,12503.07129,13613.72852,14519.26563,15790.15918,16332.09082,16959.35156,17770.88672,18678.80664,19737.54102,21651.37891,22487.72852,22563.67578,23116.61328,23156.61328,25277.35352,26437.29102,28609.34375,29972.6875,29739.95898,30926.76172,34301.55469,36842.74219,40638.72266,43177.33984
BGD,Bangladesh,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,77824.39844,84070.71875,84746.82031,90983.17188,96370.50781,95269.96875,93674.22656,94547.83594,92003.17188,95141.875,98735.65625,105277.6563,103526.2109,98313.98438,82861.22656,84047.34375,80794.07813,91523.63281,98522.39844,101226.5313,107397.9375,107734.9063,110135.1328,110377.3047,112763.7422,123459.6328,129514.2891,133311.5625,133954.3594,140098.25,156471.6563,165009.8906,171660.4375,176196.6406,180718.4688,189255.7656,198531.4375,203890.125,203096.4844,200702,194641.0938,201182.2031,207362.0938,218985.7188,225002.5469,230184.6406,242146.8125,263244.25,292450.4063,326605.1563,353219.75,401206.5938,462460.5,479084.5938,503646.5,537656.8125,583865.3125,607812.375,656738.9375,712720.4375,757204.5625
BGR,Bulgaria,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,35702.97656,38233.92188,41334.5625,44659.67969,48551.47656,53686.69141,56779.57422,59793.89844,63106.83594,67796.49219,69228.66406,74765.25781,78017.33594,82738.82813,84002.625,88902.59375,90769.42969,98736.375,102333.8203,99857.0625,98880.71875,102723.6719,104788.3125,77478.07813,76641.27344,80629.14844,76149.53906,58517.94922,69234.98438,69242.76563,75373.38281,77281.92188,80570.08594,83615.17188,87839.57031,96767.91406,103376.4844,112144.5781,118710.0156,116701.7969,120375.8516,118724.1641,121001.5547,115790.0547,119488.8438,126400.9609,133702.7344,139064.6719,144051.4375,150325.4375
BHR,Bahrain,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,3704.491943,3815.294678,4075.720947,4757.822266,6188.187988,5476.742188,7090.15332,7144.195801,8016.766602,6967.441406,8403.47168,7654.070313,6471.319336,6780.756836,7329.379883,4185.803711,5332.26709,5733.39502,7070.374023,7191.750488,8276.571289,8197.698242,8723.615234,9548.564453,9852.917969,10061.91504,9579.713867,11694.61816,11237.03906,13977.12598,19715.78906,19424.16992,18981.40039,23357.0625,26296.91992,34898.29688,40090.91797,45166.58594,61262.45313,52939.48828,57575.75781,60623.96484,72460.84375,71635.91406,69537.625,66299.0625,66525.86719,73566.20313,77392.21094,77180.33594
BHS,Bahamas,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,3289.965576,3587.206299,3416.848877,4001.5271,3790.398682,2792.471191,3121.161621,3058.511719,3939.425293,4512.208984,5636.074219,4645.754395,4934.541016,5500.876953,6652.987793,7608.547363,7294.630859,8268.078125,8050.500488,8403.523438,7496.401855,6829.509766,7863.723145,7077.702637,7004.372559,6857.950684,8323.288086,8231.543945,9041.198242,10249.74023,11088.12598,10467.84863,12565.91211,12061.02246,11539.69434,12367.79883,11505.85547,12612.25,11759.08691,12103.3623,11493.33008,11803.7793,12599.68066,11051.75195,12125.1543,11533.66895,11711.10059,12216.80566,12512.85547,12962.30176
BIH,Bosnia and Herzegovina,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3936.629883,4269.633789,3389.221436,4443.205078,6141.629883,8815.144531,16942.14063,21000.57227,21812.64258,24169.06055,23068.63672,23743.93164,24524.44141,24523.31641,25112.04492,28251.25391,30890.12695,33543.09766,35573.56641,36241.36328,36874.10547,37767.76172,38231.90625,38154.48047,38326.11328,40074.43359,41590.62891,42397.5,44127.14063,45816.26563
